År,Region,0-24 år,25-64 år,65+ år
2018,Stockholms län,693626,1278244,372254
2018,Uppsala län,115026,191513,69815
2018,Södermanlands län,86202,142288,66205
2018,Östergötlands län,137215,230087,94281
2018,Jönköpings län,108911,177321,74593
2018,Kronobergs län,60192,97499,42195
2018,Kalmar län,66661,117671,60338
2018,Gotlands län,15468,28777,15004
2018,Blekinge län,45064,77069,37551
2018,Skåne län,402691,693516,265957
2018,Hallands län,96511,161393,71448
2018,Västra Götalands län,496437,881776,331601
2018,Värmlands län,77062,137591,66829
2018,Örebro län,90016,148155,64081
2018,Västmanlands län,78959,135570,59400
2018,Dalarnas län,79169,138349,69673
2018,Gävleborgs län,78767,139493,68287
2018,Västernorrlands län,67080,119457,58916
2018,Jämtlands län,36002,63957,30321
2018,Västerbottens län,78763,134452,56939
2018,Norrbottens län,67013,123461,60023
